hTRI,java,83
kjRfoP,python,94
KhXf,python,56
VAytb,python,77
QXvn,python,99
jGNTql,html,72
JDkeB,C++,54
mWumj,html,87
ZqeOSv,java,63
RPV,java,65
FAug,python,88
kjRfoP,C++,54
KhXf,python,74
hTRI,java,96
dJruAL,python,94
hTRI,html,85
jGNTql,html,80
KBsbou,C++,83
nmwWP,python,53
zDPclC,java,62
YRhNw,html,83
gVw,python,72
KhXf,python,63
FAug,C++,86
KhXf,C++,54
ifNLzB,java,84
qOl,java,51
vWBbN,C++,64
LCF,html,91
ZqeOSv,html,64
RPV,C++,87
RPV,html,53
vWBbN,python,87
YRhNw,java,52
FAug,python,78
gVw,html,88
LCF,java,63
lfL,html,65
FAug,html,61
KBsbou,html,89
ifNLzB,C++,69
vWBbN,java,61
hTRI,python,54
QXvn,java,55
rIgeHN,C++,59
qOl,java,51
ijIB,java,92
LCF,python,67
YRhNw,java,55
YRhNw,html,66
JDkeB,python,77
YRhNw,python,69
LCF,C++,66
qOl,java,84
hTRI,html,60
ZqeOSv,html,78
lfL,python,55
KhXf,C++,83
nmwWP,html,57
gVw,java,100
VAytb,C++,74
lfL,C++,90
VAytb,C++,66
nmwWP,html,84
rIgeHN,C++,84
lfL,html,65
mWumj,python,62
LCF,html,70
Vgd,python,52
ZqeOSv,java,67
dJruAL,java,66
gVw,python,66
VAytb,java,76
ifNLzB,python,55
YRhNw,java,98
qOl,html,66
RPV,html,61
jGNTql,html,90
qOl,python,60
lfL,html,54
dJruAL,java,94
FAug,C++,84
KhXf,html,90
LCF,C++,96
gVw,C++,70
dJruAL,java,54
QXvn,java,50
kjRfoP,python,88
ifNLzB,python,80
ZqeOSv,C++,100
zDPclC,C++,81
mWumj,html,86
LCF,java,85
VAytb,C++,77
mWumj,html,74
nmwWP,java,92
LCF,C++,78
rIgeHN,html,94
mWumj,java,77
vWBbN,html,66
MZTbv,python,85
pbl,python,59
MVgqga,html,85
cmEerj,java,94
BBftkO,html,54
btnsI,C++,79
FeBSe,html,82
eux,python,66
PRNLHJ,html,71
rBVHJ,java,83
qEn,html,79
bulLF,html,96
eux,html,52
tnXt,java,93
tnXt,html,56
rBVHJ,html,96
vnXc,python,73
qEn,python,98
Kpw,C++,87
SxHhep,C++,96
yIqzna,python,85
kKMJHH,java,72
kKMJHH,html,56
tnXt,python,74
SxHhep,html,55
dsHGaN,python,68
bulLF,python,65
pbl,html,63
MVgqga,java,54
naje,C++,65
bpA,html,68
cmEerj,html,80
KFvJYJ,python,91
YQhXUu,html,50
BBftkO,python,93
nrFUjW,html,95
eux,C++,57
Kpw,python,67
dsHGaN,C++,70
YQhXUu,C++,81
kKMJHH,python,60
KFvJYJ,html,70
pbl,java,80
PRNLHJ,C++,66
cmEerj,python,92
MZTbv,java,89
bpA,C++,100
FeBSe,C++,57
YQhXUu,java,79
SxHhep,java,71
FeBSe,python,98
kKMJHH,C++,53
vnXc,html,65
nrFUjW,python,66
KFvJYJ,C++,64
yIqzna,html,100
KFvJYJ,java,93
dsHGaN,html,84
btnsI,html,92
yshIH,java,64
HYq,java,79
rxBg,java,99
namiDu,java,59
HWqS,java,80
sjU,java,86
HWqS,html,92
caCuJ,html,95
gIIkxg,python,79
gIIkxg,C++,58
DcgWfK,java,61
ukEoV,java,72
XGBf,python,70
gIIkxg,html,74
wlBU,C++,54
PGGEoV,C++,82
bTuLu,java,97
HoNmrR,java,55
lMJzn,html,90
caCuJ,java,52
HoNmrR,python,57
HYq,python,88
LOQY,python,65
UDpBdt,html,71
LOQY,java,90
ukEoV,html,89
SyMLO,C++,95
XGBf,C++,78
RWm,python,80
lMJzn,C++,72
LOQY,html,100
bTuLu,C++,83
XGBf,java,79
PGGEoV,python,89
LOQY,C++,93
rxBg,python,63
TSBM,C++,53
HoNmrR,C++,60
HoNmrR,html,60
HWqS,C++,56
sjU,python,74
yshIH,html,92
TSBM,java,63
OoQzv,java,77
DcgWfK,html,63
namiDu,html,94
rxBg,C++,88
TSBM,python,53
HWqS,python,63
HYq,C++,91
gIIkxg,java,64
RWm,html,77
lMJzn,python,85
HYq,html,52
kZX,java,53
sjU,html,53
SyMLO,java,95
kZX,C++,81
DcgWfK,C++,94
lulhT,java,84
